ZIP Encoding,Monte_Carlo_Run,Iteration,Number of experiments,MEDV_Measurements,MEDV_IterBest,Running best house price
OHE,1,35,36,[2.062],2.062,3.626666666666667
OHE,1,36,37,[2.4212069],2.421206896551724,3.626666666666667
OHE,1,37,38,[2.33028571],2.330285714285714,3.626666666666667
OHE,1,38,39,[1.308],1.308,3.626666666666667
OHE,1,39,40,[2.862875],2.862875,3.626666666666667
OHE,1,40,41,[2.28072773],2.280727727272727,3.626666666666667
OHE,1,41,42,[2.61706667],2.6170666666666667,3.626666666666667
OHE,1,42,43,[0.971],0.971,3.626666666666667
OHE,1,43,44,[2.1705],2.1704999999999997,3.626666666666667
OHE,1,44,45,[3.3594375],3.3594375,3.626666666666667
OHE,1,45,46,[1.579],1.579,3.626666666666667
OHE,1,46,47,[1.36566667],1.3656666666666666,3.626666666666667
OHE,1,47,48,[3.91134769],3.9113476923076926,3.9113476923076926
OHE,1,48,49,[2.208],2.208,3.9113476923076926
OHE,1,49,50,[1.848],1.848,3.9113476923076926
INT,1,0,1,[0.6215],0.6214999999999999,0.6214999999999999
INT,1,1,2,[1.3715],1.3715,1.3715
INT,1,2,3,[0.7506],0.7506,1.3715
INT,1,3,4,[4.98145333],4.981453333333333,4.981453333333333
INT,1,4,5,[0.863],0.863,4.981453333333333
INT,1,5,6,[0.749],0.749,4.981453333333333
INT,1,6,7,[0.538],0.538,4.981453333333333
INT,1,7,8,[2.26],2.26,4.981453333333333
INT,1,8,9,[1.81266667],1.8126666666666664,4.981453333333333
INT,1,9,10,[1.2625],1.2625,4.981453333333333
INT,1,10,11,[1.531],1.531,4.981453333333333
INT,1,11,12,[2.8116],2.8116,4.981453333333333
INT,1,12,13,[1.155],1.155,4.981453333333333
INT,1,13,14,[3.62666667],3.626666666666667,4.981453333333333
INT,1,14,15,[2.94143333],2.9414333333333333,4.981453333333333
INT,1,15,16,[4.42935929],4.429359285714286,4.981453333333333
INT,1,16,17,[0.63815385],0.6381538461538461,4.981453333333333
INT,1,17,18,[1.1465],1.1465,4.981453333333333
INT,1,18,19,[2.39075],2.39075,4.981453333333333
INT,1,19,20,[2.20004545],2.2000454545454544,4.981453333333333
INT,1,20,21,[1.443],1.443,4.981453333333333
INT,1,21,22,[2.05724138],2.057241379310345,4.981453333333333
INT,1,22,23,[4.33281563],4.332815625,4.981453333333333
INT,1,23,24,[3.048],3.048,4.981453333333333
INT,1,24,25,[0.74],0.74,4.981453333333333
INT,1,25,26,[2.079125],2.079125,4.981453333333333
INT,1,26,27,[2.0672],2.0672,4.981453333333333
INT,1,27,28,[0.593],0.593,4.981453333333333
INT,1,28,29,[1.975],1.975,4.981453333333333
INT,1,29,30,[4.27857429],4.278574285714286,4.981453333333333
INT,1,30,31,[0.574],0.574,4.981453333333333
INT,1,31,32,[2.7804],2.7804,4.981453333333333
INT,1,32,33,[1.573],1.573,4.981453333333333
INT,1,33,34,[0.6082],0.6082,4.981453333333333
INT,1,34,35,[0.892],0.892,4.981453333333333
INT,1,35,36,[1.26164],1.26164,4.981453333333333
INT,1,36,37,[4.82320077],4.823200769230769,4.981453333333333
INT,1,37,38,[1.798],1.798,4.981453333333333
INT,1,38,39,[0.945],0.945,4.981453333333333
INT,1,39,40,[1.18],1.18,4.981453333333333
INT,1,40,41,[0.938],0.938,4.981453333333333
INT,1,41,42,[2.08728571],2.087285714285714,4.981453333333333
INT,1,42,43,[0.521],0.521,4.981453333333333
INT,1,43,44,[1.14990909],1.1499090909090908,4.981453333333333
INT,1,44,45,[1.8715],1.8715,4.981453333333333
INT,1,45,46,[1.377],1.377,4.981453333333333
INT,1,46,47,[1.3395],1.3395,4.981453333333333
INT,1,47,48,[2.461875],2.461875,4.981453333333333
INT,1,48,49,[1.475],1.475,4.981453333333333
INT,1,49,50,[1.3414],1.3414,4.981453333333333
Random,1,0,1,[0.55],0.55,0.55
Random,1,1,2,[3.46987875],3.46987875,3.46987875
Random,1,2,3,[0.687],0.687,3.46987875
Random,1,3,4,[1.95296],1.95296,3.46987875
Random,1,4,5,[1.91842857],1.9184285714285711,3.46987875
Random,1,5,6,[0.835375],0.835375,3.46987875
Random,1,6,7,[3.44700286],3.4470028571428566,3.46987875
Random,1,7,8,[1.377],1.377,3.46987875
Random,1,8,9,[0.786],0.786,3.46987875
Random,1,9,10,[2.59597667],2.5959766666666666,3.46987875
Random,1,10,11,[1.70193333],1.7019333333333333,3.46987875
Random,1,11,12,[1.01],1.01,3.46987875
