% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,21,9,20,"[81.63, 89.76]",89.76,89.76,
0,22,0,2,"[3.44, 0.0]",3.44,3.44,
0,22,1,4,"[0.0, 5.8]",5.8,5.8,
0,22,2,6,"[6.24, 0.0]",6.24,6.24,
0,22,3,8,"[13.09, 2.83]",13.09,13.09,
0,22,4,10,"[4.94, 7.69]",7.69,13.09,
0,22,5,12,"[6.44, 87.32]",87.32,87.32,
0,22,6,14,"[32.36, 86.46]",86.46,87.32,
0,22,7,16,"[74.04, 76.33]",76.33,87.32,
0,22,8,18,"[4.61, 30.15]",30.15,87.32,
0,22,9,20,"[63.13, 68.33]",68.33,87.32,
0,23,0,2,"[0.0, 6.93]",6.93,6.93,
0,23,1,4,"[26.78, 4.23]",26.78,26.78,
0,23,2,6,"[15.42, 45.17]",45.17,45.17,
0,23,3,8,"[40.43, 0.0]",40.43,45.17,
0,23,4,10,"[49.17, 42.04]",49.17,49.17,
0,23,5,12,"[8.16, 29.75]",29.75,49.17,
0,23,6,14,"[48.15, 9.03]",48.15,49.17,
0,23,7,16,"[56.45, 39.42]",56.45,56.45,
0,23,8,18,"[40.61, 22.06]",40.61,56.45,
0,23,9,20,"[43.52, 35.43]",43.52,56.45,
0,24,0,2,"[16.46, 10.34]",16.46,16.46,
0,24,1,4,"[68.35, 65.69]",68.35,68.35,
0,24,2,6,"[46.75, 82.33]",82.33,82.33,
0,24,3,8,"[16.04, 88.82]",88.82,88.82,
0,24,4,10,"[70.51, 57.84]",70.51,88.82,
0,24,5,12,"[81.63, 40.61]",81.63,88.82,
0,24,6,14,"[39.55, 87.59]",87.59,88.82,
0,24,7,16,"[40.85, 83.22]",83.22,88.82,
0,24,8,18,"[67.57, 83.85]",83.85,88.82,
0,24,9,20,"[89.76, 80.38]",89.76,89.76,
0,25,0,2,"[45.95, 14.58]",45.95,45.95,
0,25,1,4,"[50.93, 86.37]",86.37,86.37,
0,25,2,6,"[47.3, 48.21]",48.21,86.37,
0,25,3,8,"[83.83, 0.0]",83.83,86.37,
0,25,4,10,"[59.27, 85.24]",85.24,86.37,
0,25,5,12,"[2.79, 28.11]",28.11,86.37,
0,25,6,14,"[84.17, 3.0]",84.17,86.37,
0,25,7,16,"[87.83, 4.23]",87.83,87.83,
0,25,8,18,"[84.81, 38.03]",84.81,87.83,
0,25,9,20,"[77.41, 67.17]",77.41,87.83,
0,26,0,2,"[0.0, 0.0]",0.0,0.0,
0,26,1,4,"[7.8, 13.89]",13.89,13.89,
0,26,2,6,"[16.19, 40.02]",40.02,40.02,
0,26,3,8,"[37.73, 46.99]",46.99,46.99,
0,26,4,10,"[26.88, 31.38]",31.38,46.99,
0,26,5,12,"[25.08, 10.05]",25.08,46.99,
0,26,6,14,"[21.0, 76.02]",76.02,76.02,
0,26,7,16,"[62.32, 26.29]",62.32,76.02,
0,26,8,18,"[60.48, 49.17]",60.48,76.02,
0,26,9,20,"[29.06, 13.11]",29.06,76.02,
0,27,0,2,"[8.98, 29.31]",29.31,29.31,
0,27,1,4,"[28.64, 0.0]",28.64,29.31,
0,27,2,6,"[82.09, 4.77]",82.09,82.09,
0,27,3,8,"[5.69, 10.51]",10.51,82.09,
0,27,4,10,"[78.95, 62.6]",78.95,82.09,
0,27,5,12,"[88.41, 8.4]",88.41,88.41,
0,27,6,14,"[84.81, 65.37]",84.81,88.41,
0,27,7,16,"[80.61, 5.03]",80.61,88.41,
0,27,8,18,"[48.15, 22.94]",48.15,88.41,
0,27,9,20,"[73.71, 7.71]",73.71,88.41,
0,28,0,2,"[28.53, 40.61]",40.61,40.61,
0,28,1,4,"[18.59, 69.13]",69.13,69.13,
0,28,2,6,"[29.25, 46.53]",46.53,69.13,
0,28,3,8,"[64.48, 84.17]",84.17,84.17,
0,28,4,10,"[86.37, 50.93]",86.37,86.37,
0,28,5,12,"[26.5, 69.11]",69.11,86.37,
0,28,6,14,"[83.83, 67.17]",83.83,86.37,
0,28,7,16,"[28.93, 36.98]",36.98,86.37,
0,28,8,18,"[87.83, 86.43]",87.83,87.83,
0,28,9,20,"[84.17, 84.81]",84.81,87.83,
0,29,0,2,"[78.95, 67.17]",78.95,78.95,
0,29,1,4,"[28.64, 0.0]",28.64,78.95,
0,29,2,6,"[35.07, 17.74]",35.07,78.95,
0,29,3,8,"[82.09, 67.04]",82.09,82.09,
0,29,4,10,"[88.41, 18.55]",88.41,88.41,
0,29,5,12,"[38.03, 84.81]",84.81,88.41,
0,29,6,14,"[80.61, 5.69]",80.61,88.41,
0,29,7,16,"[48.15, 7.71]",48.15,88.41,
0,29,8,18,"[5.03, 56.57]",56.57,88.41,
0,29,9,20,"[73.71, 59.81]",73.71,88.41,
0,30,0,2,"[0.0, 23.77]",23.77,23.77,
0,30,1,4,"[31.97, 16.09]",31.97,31.97,
0,30,2,6,"[23.22, 4.77]",23.22,31.97,
0,30,3,8,"[0.0, 19.39]",19.39,31.97,
0,30,4,10,"[28.93, 2.99]",28.93,31.97,
0,30,5,12,"[16.44, 37.36]",37.36,37.36,
0,30,6,14,"[25.35, 44.74]",44.74,44.74,
0,30,7,16,"[55.8, 35.07]",55.8,55.8,
0,30,8,18,"[67.17, 53.63]",67.17,67.17,
0,30,9,20,"[67.17, 67.04]",67.17,67.17,
0,31,0,2,"[42.04, 0.0]",42.04,42.04,
0,31,1,4,"[51.99, 29.75]",51.99,51.99,
0,31,2,6,"[49.22, 0.0]",49.22,51.99,
0,31,3,8,"[23.75, 35.91]",35.91,51.99,
0,31,4,10,"[43.18, 8.16]",43.18,51.99,
0,31,5,12,"[27.48, 52.22]",52.22,52.22,
0,31,6,14,"[66.49, 59.92]",66.49,66.49,
0,31,7,16,"[48.25, 73.71]",73.71,73.71,
0,31,8,18,"[2.79, 64.62]",64.62,73.71,
0,31,9,20,"[25.86, 88.41]",88.41,88.41,
0,32,0,2,"[85.24, 49.17]",85.24,85.24,
0,32,1,4,"[2.79, 3.0]",3.0,85.24,
0,32,2,6,"[28.11, 29.21]",29.21,85.24,
0,32,3,8,"[84.17, 0.0]",84.17,85.24,
0,32,4,10,"[87.83, 38.03]",87.83,87.83,
0,32,5,12,"[59.27, 84.81]",84.81,87.83,
0,32,6,14,"[86.37, 4.74]",86.37,87.83,
0,32,7,16,"[83.83, 26.5]",83.83,87.83,
0,32,8,18,"[67.17, 77.41]",77.41,87.83,
0,32,9,20,"[45.95, 42.3]",45.95,87.83,
0,33,0,2,"[0.0, 62.32]",62.32,62.32,
0,33,1,4,"[21.46, 29.06]",29.06,62.32,
