% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,22,7,16,"[31.38, 18.19]",31.38,44.4,
0,22,8,18,"[2.53, 2.49]",2.53,44.4,
0,22,9,20,"[31.66, 26.88]",31.66,44.4,
0,23,0,2,"[3.63, 0.43]",3.63,3.63,
0,23,1,4,"[20.46, 9.59]",20.46,20.46,
0,23,2,6,"[9.6, 37.3]",37.3,37.3,
0,23,3,8,"[37.37, 52.2]",52.2,52.2,
0,23,4,10,"[44.4, 26.88]",44.4,52.2,
0,23,5,12,"[33.6, 29.45]",33.6,52.2,
0,23,6,14,"[14.99, 0.0]",14.99,52.2,
0,23,7,16,"[10.04, 22.3]",22.3,52.2,
0,23,8,18,"[36.97, 6.73]",36.97,52.2,
0,23,9,20,"[45.87, 2.9]",45.87,52.2,
0,24,0,2,"[0.0, 0.0]",0.0,0.0,
0,24,1,4,"[9.32, 0.0]",9.32,9.32,
0,24,2,6,"[9.96, 7.8]",9.96,9.96,
0,24,3,8,"[6.77, 2.9]",6.77,9.96,
0,24,4,10,"[22.3, 3.79]",22.3,22.3,
0,24,5,12,"[13.01, 24.05]",24.05,24.05,
0,24,6,14,"[36.32, 19.97]",36.32,36.32,
0,24,7,16,"[32.14, 3.38]",32.14,36.32,
0,24,8,18,"[28.02, 13.31]",28.02,36.32,
0,24,9,20,"[6.26, 16.44]",16.44,36.32,
0,25,0,2,"[63.2, 39.5]",63.2,63.2,
0,25,1,4,"[57.85, 36.73]",57.85,63.2,
0,25,2,6,"[19.99, 44.22]",44.22,63.2,
0,25,3,8,"[16.44, 51.32]",51.32,63.2,
0,25,4,10,"[52.23, 39.55]",52.23,63.2,
0,25,5,12,"[31.58, 8.21]",31.58,63.2,
0,25,6,14,"[16.15, 0.0]",16.15,63.2,
0,25,7,16,"[57.95, 28.9]",57.95,63.2,
0,25,8,18,"[37.58, 45.95]",45.95,63.2,
0,25,9,20,"[69.11, 72.9]",72.9,72.9,
0,26,0,2,"[3.04, 0.0]",3.04,3.04,
0,26,1,4,"[61.94, 5.65]",61.94,61.94,
0,26,2,6,"[28.74, 17.54]",28.74,61.94,
0,26,3,8,"[42.48, 0.0]",42.48,61.94,
0,26,4,10,"[68.86, 29.57]",68.86,68.86,
0,26,5,12,"[32.68, 62.34]",62.34,68.86,
0,26,6,14,"[61.71, 30.83]",61.71,68.86,
0,26,7,16,"[32.71, 17.9]",32.71,68.86,
0,26,8,18,"[3.0, 85.24]",85.24,85.24,
0,26,9,20,"[28.11, 82.21]",82.21,85.24,
0,27,0,2,"[3.01, 0.0]",3.01,3.01,
0,27,1,4,"[1.71, 0.0]",1.71,3.01,
0,27,2,6,"[2.52, 5.85]",5.85,5.85,
0,27,3,8,"[6.38, 52.77]",52.77,52.77,
0,27,4,10,"[27.79, 43.2]",43.2,52.77,
0,27,5,12,"[68.86, 0.0]",68.86,68.86,
0,27,6,14,"[32.71, 62.34]",62.34,68.86,
0,27,7,16,"[42.3, 30.83]",42.3,68.86,
0,27,8,18,"[23.45, 53.43]",53.43,68.86,
0,27,9,20,"[66.03, 72.9]",72.9,72.9,
0,28,0,2,"[19.39, 2.53]",19.39,19.39,
0,28,1,4,"[2.99, 42.45]",42.45,42.45,
0,28,2,6,"[17.92, 41.03]",41.03,42.45,
0,28,3,8,"[66.03, 4.23]",66.03,66.03,
0,28,4,10,"[53.43, 28.36]",53.43,66.03,
0,28,5,12,"[31.55, 0.0]",31.55,66.03,
0,28,6,14,"[44.28, 17.53]",44.28,66.03,
0,28,7,16,"[0.0, 59.27]",59.27,66.03,
0,28,8,18,"[0.0, 46.57]",46.57,66.03,
0,28,9,20,"[82.21, 32.68]",82.21,82.21,
0,29,0,2,"[23.71, 26.29]",26.29,26.29,
0,29,1,4,"[17.98, 25.0]",25.0,26.29,
0,29,2,6,"[31.66, 15.86]",31.66,31.66,
0,29,3,8,"[37.37, 21.46]",37.37,37.37,
0,29,4,10,"[52.2, 2.29]",52.2,52.2,
0,29,5,12,"[31.38, 5.7]",31.38,52.2,
0,29,6,14,"[44.4, 14.99]",44.4,52.2,
0,29,7,16,"[79.33, 22.3]",79.33,79.33,
0,29,8,18,"[38.03, 43.2]",43.2,79.33,
0,29,9,20,"[84.17, 61.71]",84.17,84.17,
0,30,0,2,"[4.85, 2.48]",4.85,4.85,
0,30,1,4,"[5.22, 10.34]",10.34,10.34,
0,30,2,6,"[13.78, 30.03]",30.03,30.03,
0,30,3,8,"[23.23, 5.65]",23.23,30.03,
0,30,4,10,"[0.66, 61.09]",61.09,61.09,
0,30,5,12,"[55.7, 43.84]",55.7,61.09,
0,30,6,14,"[84.03, 20.67]",84.03,84.03,
0,30,7,16,"[75.28, 18.93]",75.28,84.03,
0,30,8,18,"[36.73, 0.97]",36.73,84.03,
0,30,9,20,"[17.45, 0.0]",17.45,84.03,
0,31,0,2,"[0.0, 0.0]",0.0,0.0,
0,31,1,4,"[4.39, 6.38]",6.38,6.38,
0,31,2,6,"[3.01, 0.0]",3.01,6.38,
0,31,3,8,"[8.04, 3.77]",8.04,8.04,
0,31,4,10,"[3.4, 2.53]",3.4,8.04,
0,31,5,12,"[0.0, 2.77]",2.77,8.04,
0,31,6,14,"[45.87, 79.33]",79.33,79.33,
0,31,7,16,"[86.14, 52.77]",86.14,86.14,
0,31,8,18,"[38.79, 6.26]",38.79,86.14,
0,31,9,20,"[27.79, 84.17]",84.17,86.14,
0,32,0,2,"[48.64, 43.84]",48.64,48.64,
0,32,1,4,"[24.25, 48.21]",48.21,48.64,
0,32,2,6,"[13.31, 72.9]",72.9,72.9,
0,32,3,8,"[18.72, 40.02]",40.02,72.9,
0,32,4,10,"[86.37, 30.83]",86.37,86.37,
0,32,5,12,"[0.0, 0.0]",0.0,86.37,
0,32,6,14,"[69.11, 36.72]",69.11,86.37,
0,32,7,16,"[45.95, 59.27]",59.27,86.37,
0,32,8,18,"[36.98, 53.43]",53.43,86.37,
0,32,9,20,"[84.17, 42.45]",84.17,86.37,
0,33,0,2,"[13.01, 2.62]",13.01,13.01,
0,33,1,4,"[32.14, 7.8]",32.14,32.14,
0,33,2,6,"[19.97, 36.32]",36.32,36.32,
0,33,3,8,"[3.38, 11.77]",11.77,36.32,
0,33,4,10,"[28.02, 63.2]",63.2,63.2,
0,33,5,12,"[19.99, 57.95]",57.95,63.2,
0,33,6,14,"[52.23, 16.44]",52.23,63.2,
0,33,7,16,"[36.73, 51.32]",51.32,63.2,
0,33,8,18,"[44.22, 43.84]",44.22,63.2,
0,33,9,20,"[31.58, 21.51]",31.58,63.2,
0,34,0,2,"[0.0, 9.39]",9.39,9.39,
0,34,1,4,"[21.5, 11.0]",21.5,21.5,
0,34,2,6,"[30.95, 46.57]",46.57,46.57,
0,34,3,8,"[42.3, 82.21]",82.21,82.21,
