% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,16,5,12,"[61.67, 28.36]",61.67,84.67,
0,16,6,14,"[48.86, 71.43]",71.43,84.67,
0,16,7,16,"[73.33, 62.15]",73.33,84.67,
0,16,8,18,"[33.95, 82.28]",82.28,84.67,
0,16,9,20,"[34.45, 80.39]",80.39,84.67,
0,17,0,2,"[7.54, 75.4]",75.4,75.4,
0,17,1,4,"[79.76, 4.39]",79.76,79.76,
0,17,2,6,"[78.44, 73.33]",78.44,79.76,
0,17,3,8,"[71.43, 33.95]",71.43,79.76,
0,17,4,10,"[77.01, 84.62]",84.62,84.62,
0,17,5,12,"[78.6, 32.5]",78.6,84.62,
0,17,6,14,"[75.39, 69.03]",75.39,84.62,
0,17,7,16,"[56.5, 25.77]",56.5,84.62,
0,17,8,18,"[73.08, 53.81]",73.08,84.62,
0,17,9,20,"[58.95, 28.02]",58.95,84.62,
0,18,0,2,"[3.04, 0.0]",3.04,3.04,
0,18,1,4,"[11.61, 3.18]",11.61,11.61,
0,18,2,6,"[5.7, 59.05]",59.05,59.05,
0,18,3,8,"[5.53, 48.91]",48.91,59.05,
0,18,4,10,"[6.23, 76.24]",76.24,76.24,
0,18,5,12,"[53.49, 44.48]",53.49,76.24,
0,18,6,14,"[25.35, 18.26]",25.35,76.24,
0,18,7,16,"[84.67, 36.18]",84.67,84.67,
0,18,8,18,"[48.86, 48.34]",48.86,84.67,
0,18,9,20,"[78.6, 80.39]",80.39,84.67,
0,19,0,2,"[2.79, 56.5]",56.5,56.5,
0,19,1,4,"[54.55, 53.81]",54.55,56.5,
0,19,2,6,"[58.95, 13.31]",58.95,58.95,
0,19,3,8,"[58.48, 29.82]",58.48,58.95,
0,19,4,10,"[45.37, 69.03]",69.03,69.03,
0,19,5,12,"[73.08, 36.46]",73.08,73.08,
0,19,6,14,"[30.77, 25.77]",30.77,73.08,
0,19,7,16,"[77.01, 84.62]",84.62,84.62,
0,19,8,18,"[73.33, 71.43]",73.33,84.62,
0,19,9,20,"[79.76, 78.44]",79.76,84.62,
0,20,0,2,"[27.05, 4.51]",27.05,27.05,
0,20,1,4,"[25.64, 7.88]",25.64,27.05,
0,20,2,6,"[21.09, 36.7]",36.7,36.7,
0,20,3,8,"[33.6, 31.43]",33.6,36.7,
0,20,4,10,"[14.19, 37.37]",37.37,37.37,
0,20,5,12,"[64.46, 78.93]",78.93,78.93,
0,20,6,14,"[68.17, 31.66]",68.17,78.93,
0,20,7,16,"[55.96, 52.08]",55.96,78.93,
0,20,8,18,"[74.3, 32.04]",74.3,78.93,
0,20,9,20,"[30.17, 53.02]",53.02,78.93,
0,21,0,2,"[5.22, 0.0]",5.22,5.22,
0,21,1,4,"[3.57, 3.18]",3.57,5.22,
0,21,2,6,"[11.83, 0.0]",11.83,11.83,
0,21,3,8,"[13.71, 7.54]",13.71,13.71,
0,21,4,10,"[5.38, 1.58]",5.38,13.71,
0,21,5,12,"[2.11, 4.26]",4.26,13.71,
