% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1354,1,4,"[87.62, 52.69]",87.62,87.62,
0,1354,2,6,"[39.39, 3.13]",39.39,87.62,
0,1354,3,8,"[5.49, 11.52]",11.52,87.62,
0,1354,4,10,"[24.09, 5.45]",24.09,87.62,
0,1354,5,12,"[90.39, 0.0]",90.39,90.39,
0,1354,6,14,"[91.39, 11.18]",91.39,91.39,
0,1354,7,16,"[67.21, 87.0]",87.0,91.39,
0,1354,8,18,"[98.49, 100.0]",100.0,100.0,
0,1354,9,20,"[6.54, 100.0]",100.0,100.0,
0,1355,0,2,"[30.77, 11.18]",30.77,30.77,
0,1355,1,4,"[5.25, 7.61]",7.61,30.77,
0,1355,2,6,"[52.69, 48.88]",52.69,52.69,
0,1355,3,8,"[14.84, 0.0]",14.84,52.69,
0,1355,4,10,"[0.0, 8.17]",8.17,52.69,
0,1355,5,12,"[7.88, 10.68]",10.68,52.69,
0,1355,6,14,"[37.71, 0.0]",37.71,52.69,
0,1355,7,16,"[17.26, 36.7]",36.7,52.69,
0,1355,8,18,"[57.68, 32.43]",57.68,57.68,
0,1355,9,20,"[64.46, 11.64]",64.46,64.46,
0,1356,0,2,"[80.77, 0.0]",80.77,80.77,
0,1356,1,4,"[1.95, 12.77]",12.77,80.77,
0,1356,2,6,"[5.49, 8.43]",8.43,80.77,
0,1356,3,8,"[5.53, 13.41]",13.41,80.77,
0,1356,4,10,"[23.83, 5.59]",23.83,80.77,
0,1356,5,12,"[7.33, 50.75]",50.75,80.77,
0,1356,6,14,"[0.0, 41.1]",41.1,80.77,
0,1356,7,16,"[50.69, 19.84]",50.69,80.77,
0,1356,8,18,"[6.4, 0.0]",6.4,80.77,
0,1356,9,20,"[67.21, 91.06]",91.06,91.06,
0,1357,0,2,"[76.68, 0.57]",76.68,76.68,
0,1357,1,4,"[46.33, 12.77]",46.33,76.68,
0,1357,2,6,"[0.0, 19.84]",19.84,76.68,
0,1357,3,8,"[5.77, 57.68]",57.68,76.68,
0,1357,4,10,"[53.52, 4.99]",53.52,76.68,
0,1357,5,12,"[98.49, 34.47]",98.49,98.49,
0,1357,6,14,"[87.0, 0.74]",87.0,98.49,
0,1357,7,16,"[90.39, 31.32]",90.39,98.49,
0,1357,8,18,"[67.21, 89.76]",89.76,98.49,
0,1357,9,20,"[71.11, 50.75]",71.11,98.49,
0,1358,0,2,"[80.69, 0.0]",80.69,80.69,
0,1358,1,4,"[87.62, 11.61]",87.62,87.62,
0,1358,2,6,"[6.22, 3.13]",6.22,87.62,
0,1358,3,8,"[87.0, 5.45]",87.0,87.62,
0,1358,4,10,"[57.33, 91.39]",91.39,91.39,
0,1358,5,12,"[100.0, 36.66]",100.0,100.0,
0,1358,6,14,"[7.34, 100.0]",100.0,100.0,
0,1358,7,16,"[90.39, 46.33]",90.39,100.0,
0,1358,8,18,"[98.49, 91.06]",98.49,100.0,
0,1358,9,20,"[0.0, 50.69]",50.69,100.0,
0,1359,0,2,"[1.31, 3.79]",3.79,3.79,
0,1359,1,4,"[0.0, 7.12]",7.12,7.12,
0,1359,2,6,"[55.96, 5.45]",55.96,55.96,
0,1359,3,8,"[9.07, 2.84]",9.07,55.96,
0,1359,4,10,"[39.39, 11.61]",39.39,55.96,
0,1359,5,12,"[64.46, 46.33]",64.46,64.46,
0,1359,6,14,"[90.39, 36.7]",90.39,90.39,
0,1359,7,16,"[67.21, 98.49]",98.49,98.49,
0,1359,8,18,"[100.0, 31.32]",100.0,100.0,
0,1359,9,20,"[18.42, 91.11]",91.11,100.0,
0,1360,0,2,"[0.0, 7.12]",7.12,7.12,
0,1360,1,4,"[23.83, 0.0]",23.83,23.83,
0,1360,2,6,"[2.84, 6.57]",6.57,23.83,
0,1360,3,8,"[11.61, 5.59]",11.61,23.83,
0,1360,4,10,"[10.68, 11.18]",11.18,23.83,
0,1360,5,12,"[73.08, 1.13]",73.08,73.08,
0,1360,6,14,"[56.5, 44.16]",56.5,73.08,
0,1360,7,16,"[22.3, 84.62]",84.62,84.62,
0,1360,8,18,"[0.0, 79.76]",79.76,84.62,
0,1360,9,20,"[84.48, 73.93]",84.48,84.62,
0,1361,0,2,"[23.1, 72.89]",72.89,72.89,
0,1361,1,4,"[0.0, 0.0]",0.0,72.89,
0,1361,2,6,"[7.34, 20.05]",20.05,72.89,
