Substance encoding,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield
MORDRED,1340,38,39,[52.08],52.08,84.64
MORDRED,1340,39,40,[99.22],99.22,99.22
MORDRED,1341,0,1,[0.0],0.0,0.0
MORDRED,1341,1,2,[1.12],1.12,1.12
MORDRED,1341,2,3,[11.72],11.72,11.72
MORDRED,1341,3,4,[23.81],23.81,23.81
MORDRED,1341,4,5,[75.46],75.46,75.46
MORDRED,1341,5,6,[65.32],65.32,75.46
MORDRED,1341,6,7,[36.73],36.73,75.46
MORDRED,1341,7,8,[89.95],89.95,89.95
MORDRED,1341,8,9,[96.64],96.64,96.64
MORDRED,1341,9,10,[46.42],46.42,96.64
MORDRED,1341,10,11,[2.82],2.82,96.64
MORDRED,1341,11,12,[95.48],95.48,96.64
MORDRED,1341,12,13,[81.48],81.48,96.64
MORDRED,1341,13,14,[1.68],1.68,96.64
MORDRED,1341,14,15,[99.22],99.22,99.22
MORDRED,1341,15,16,[98.38],98.38,99.22
MORDRED,1341,16,17,[43.12],43.12,99.22
MORDRED,1341,17,18,[81.63],81.63,99.22
MORDRED,1341,18,19,[92.19],92.19,99.22
MORDRED,1341,19,20,[99.81],99.81,99.81
MORDRED,1341,20,21,[44.47],44.47,99.81
MORDRED,1341,21,22,[83.22],83.22,99.81
MORDRED,1341,22,23,[2.79],2.79,99.81
MORDRED,1341,23,24,[92.03],92.03,99.81
MORDRED,1341,24,25,[83.85],83.85,99.81
MORDRED,1341,25,26,[87.59],87.59,99.81
MORDRED,1341,26,27,[23.23],23.23,99.81
MORDRED,1341,27,28,[78.19],78.19,99.81
MORDRED,1341,28,29,[84.64],84.64,99.81
MORDRED,1341,29,30,[45.85],45.85,99.81
MORDRED,1341,30,31,[58.4],58.4,99.81
MORDRED,1341,31,32,[100.0],100.0,100.0
MORDRED,1341,32,33,[43.84],43.84,100.0
MORDRED,1341,33,34,[9.96],9.96,100.0
MORDRED,1341,34,35,[26.69],26.69,100.0
MORDRED,1341,35,36,[90.39],90.39,100.0
MORDRED,1341,36,37,[78.93],78.93,100.0
MORDRED,1341,37,38,[28.06],28.06,100.0
MORDRED,1341,38,39,[74.3],74.3,100.0
MORDRED,1341,39,40,[98.49],98.49,100.0
MORDRED,1342,0,1,[29.39],29.39,29.39
MORDRED,1342,1,2,[0.0],0.0,29.39
MORDRED,1342,2,3,[53.11],53.11,53.11
MORDRED,1342,3,4,[80.65],80.65,80.65
MORDRED,1342,4,5,[92.19],92.19,92.19
MORDRED,1342,5,6,[13.02],13.02,92.19
MORDRED,1342,6,7,[43.12],43.12,92.19
MORDRED,1342,7,8,[2.82],2.82,92.19
MORDRED,1342,8,9,[99.98],99.98,99.98
MORDRED,1342,9,10,[50.74],50.74,99.98
MORDRED,1342,10,11,[0.0],0.0,99.98
MORDRED,1342,11,12,[52.47],52.47,99.98
MORDRED,1342,12,13,[74.3],74.3,99.98
MORDRED,1342,13,14,[99.22],99.22,99.98
MORDRED,1342,14,15,[98.38],98.38,99.98
MORDRED,1342,15,16,[7.43],7.43,99.98
MORDRED,1342,16,17,[99.81],99.81,99.98
MORDRED,1342,17,18,[28.9],28.9,99.98
MORDRED,1342,18,19,[89.95],89.95,99.98
MORDRED,1342,19,20,[92.03],92.03,99.98
MORDRED,1342,20,21,[95.48],95.48,99.98
MORDRED,1342,21,22,[81.63],81.63,99.98
MORDRED,1342,22,23,[87.59],87.59,99.98
MORDRED,1342,23,24,[58.4],58.4,99.98
MORDRED,1342,24,25,[83.85],83.85,99.98
MORDRED,1342,25,26,[50.7],50.7,99.98
MORDRED,1342,26,27,[24.11],24.11,99.98
MORDRED,1342,27,28,[26.69],26.69,99.98
MORDRED,1342,28,29,[96.64],96.64,99.98
MORDRED,1342,29,30,[83.22],83.22,99.98
MORDRED,1342,30,31,[91.19],91.19,99.98
MORDRED,1342,31,32,[53.02],53.02,99.98
MORDRED,1342,32,33,[44.47],44.47,99.98
