% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1356,1,4,"[5.22, 5.47]",5.47,85.24,
0,1356,2,6,"[5.03, 0.0]",5.03,85.24,
0,1356,3,8,"[0.0, 7.71]",7.71,85.24,
0,1356,4,10,"[47.03, 78.95]",78.95,85.24,
0,1356,5,12,"[82.09, 1.71]",82.09,85.24,
0,1356,6,14,"[7.26, 24.56]",24.56,85.24,
0,1356,7,16,"[62.6, 0.0]",62.6,85.24,
0,1356,8,18,"[86.43, 3.0]",86.43,86.43,
0,1356,9,20,"[28.11, 64.62]",64.62,86.43,
0,1357,0,2,"[76.68, 0.57]",76.68,76.68,
0,1357,1,4,"[5.22, 5.47]",5.47,76.68,
0,1357,2,6,"[5.03, 0.0]",5.03,76.68,
0,1357,3,8,"[0.0, 7.71]",7.71,76.68,
0,1357,4,10,"[57.18, 71.57]",71.57,76.68,
0,1357,5,12,"[70.51, 40.85]",70.51,76.68,
0,1357,6,14,"[88.82, 26.74]",88.82,88.82,
0,1357,7,16,"[67.57, 82.33]",82.33,88.82,
0,1357,8,18,"[7.69, 5.3]",7.69,88.82,
0,1357,9,20,"[81.63, 13.75]",81.63,88.82,
0,1358,0,2,"[62.73, 0.0]",62.73,62.73,
0,1358,1,4,"[5.22, 5.47]",5.47,62.73,
0,1358,2,6,"[5.03, 0.0]",5.03,62.73,
0,1358,3,8,"[0.0, 7.71]",7.71,62.73,
0,1358,4,10,"[47.03, 78.95]",78.95,78.95,
0,1358,5,12,"[82.09, 5.69]",82.09,82.09,
0,1358,6,14,"[68.33, 62.6]",68.33,82.09,
0,1358,7,16,"[81.63, 57.84]",81.63,82.09,
0,1358,8,18,"[83.22, 83.85]",83.85,83.85,
0,1358,9,20,"[87.59, 71.57]",87.59,87.59,
0,1359,0,2,"[11.31, 10.51]",11.31,11.31,
0,1359,1,4,"[5.22, 5.47]",5.47,11.31,
0,1359,2,6,"[5.03, 0.0]",5.03,11.31,
0,1359,3,8,"[0.0, 7.71]",7.71,11.31,
0,1359,4,10,"[47.03, 78.95]",78.95,78.95,
0,1359,5,12,"[82.09, 62.6]",82.09,82.09,
0,1359,6,14,"[68.33, 5.69]",68.33,82.09,
0,1359,7,16,"[28.64, 0.0]",28.64,82.09,
0,1359,8,18,"[29.31, 17.43]",29.31,82.09,
0,1359,9,20,"[6.17, 8.4]",8.4,82.09,
0,1360,0,2,"[0.0, 9.6]",9.6,9.6,
0,1360,1,4,"[5.22, 5.47]",5.47,9.6,
0,1360,2,6,"[5.03, 0.0]",5.03,9.6,
0,1360,3,8,"[0.0, 7.71]",7.71,9.6,
0,1360,4,10,"[47.03, 78.95]",78.95,78.95,
0,1360,5,12,"[82.09, 62.6]",82.09,82.09,
0,1360,6,14,"[68.33, 0.0]",68.33,82.09,
0,1360,7,16,"[28.64, 7.62]",28.64,82.09,
0,1360,8,18,"[74.04, 5.69]",74.04,82.09,
0,1360,9,20,"[86.46, 87.32]",87.32,87.32,
0,1361,0,2,"[16.47, 86.37]",86.37,86.37,
0,1361,1,4,"[5.22, 5.47]",5.47,86.37,
0,1361,2,6,"[5.03, 0.0]",5.03,86.37,
0,1361,3,8,"[0.0, 7.71]",7.71,86.37,
0,1361,4,10,"[0.0, 69.11]",69.11,86.37,
0,1361,5,12,"[47.03, 78.95]",78.95,86.37,
0,1361,6,14,"[82.09, 1.71]",82.09,86.37,
0,1361,7,16,"[62.6, 83.83]",83.83,86.37,
0,1361,8,18,"[8.4, 26.5]",26.5,86.37,
0,1361,9,20,"[68.33, 59.81]",68.33,86.37,
0,1362,0,2,"[45.01, 0.0]",45.01,45.01,
0,1362,1,4,"[5.22, 5.47]",5.47,45.01,
0,1362,2,6,"[5.03, 0.0]",5.03,45.01,
0,1362,3,8,"[0.0, 7.71]",7.71,45.01,
0,1362,4,10,"[51.37, 26.74]",51.37,51.37,
0,1362,5,12,"[67.57, 41.35]",67.57,67.57,
0,1362,6,14,"[13.89, 88.82]",88.82,88.82,
0,1362,7,16,"[82.33, 71.57]",82.33,88.82,
0,1362,8,18,"[7.69, 62.73]",62.73,88.82,
0,1362,9,20,"[81.63, 3.8]",81.63,88.82,
0,1363,0,2,"[15.72, 0.07]",15.72,15.72,
0,1363,1,4,"[5.22, 5.47]",5.47,15.72,
0,1363,2,6,"[5.03, 0.0]",5.03,15.72,
0,1363,3,8,"[0.0, 7.71]",7.71,15.72,
0,1363,4,10,"[47.03, 78.95]",78.95,78.95,
0,1363,5,12,"[82.09, 1.71]",82.09,82.09,
0,1363,6,14,"[68.33, 62.6]",68.33,82.09,
0,1363,7,16,"[0.0, 5.69]",5.69,82.09,
0,1363,8,18,"[28.64, 7.62]",28.64,82.09,
0,1363,9,20,"[74.04, 83.22]",83.22,83.22,
0,1364,0,2,"[19.04, 12.83]",19.04,19.04,
0,1364,1,4,"[5.22, 5.47]",5.47,19.04,
0,1364,2,6,"[5.03, 0.0]",5.03,19.04,
0,1364,3,8,"[0.0, 7.71]",7.71,19.04,
0,1364,4,10,"[9.72, 14.75]",14.75,19.04,
0,1364,5,12,"[37.73, 0.69]",37.73,37.73,
0,1364,6,14,"[13.75, 25.08]",25.08,37.73,
0,1364,7,16,"[14.73, 15.21]",15.21,37.73,
0,1364,8,18,"[47.03, 40.02]",47.03,47.03,
0,1364,9,20,"[78.95, 17.74]",78.95,78.95,
0,1365,0,2,"[0.0, 62.82]",62.82,62.82,
0,1365,1,4,"[5.22, 5.47]",5.47,62.82,
0,1365,2,6,"[5.03, 0.0]",5.03,62.82,
0,1365,3,8,"[0.0, 7.71]",7.71,62.82,
0,1365,4,10,"[47.03, 78.95]",78.95,78.95,
0,1365,5,12,"[82.09, 62.6]",82.09,82.09,
0,1365,6,14,"[68.33, 0.0]",68.33,82.09,
0,1365,7,16,"[74.04, 86.46]",86.46,86.46,
0,1365,8,18,"[63.13, 76.33]",76.33,86.46,
0,1365,9,20,"[30.15, 4.48]",30.15,86.46,
0,1366,0,2,"[19.82, 13.75]",19.82,19.82,
0,1366,1,4,"[5.22, 5.47]",5.47,19.82,
0,1366,2,6,"[5.03, 0.0]",5.03,19.82,
0,1366,3,8,"[0.0, 7.71]",7.71,19.82,
0,1366,4,10,"[0.0, 23.5]",23.5,23.5,
0,1366,5,12,"[20.08, 4.06]",20.08,23.5,
