% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,17,5,12,"[0.0, 13.01]",13.01,36.32,
0,17,6,14,"[6.77, 3.38]",6.77,36.32,
0,17,7,16,"[20.5, 11.77]",20.5,36.32,
0,17,8,18,"[40.47, 0.97]",40.47,40.47,
0,17,9,20,"[72.24, 16.92]",72.24,72.24,
0,18,0,2,"[0.0, 6.77]",6.77,6.77,
0,18,1,4,"[5.5, 0.0]",5.5,6.77,
0,18,2,6,"[6.73, 4.95]",6.73,6.77,
0,18,3,8,"[5.48, 9.96]",9.96,9.96,
0,18,4,10,"[9.32, 8.98]",9.32,9.96,
0,18,5,12,"[7.8, 3.79]",7.8,9.96,
0,18,6,14,"[7.25, 0.0]",7.25,9.96,
0,18,7,16,"[2.9, 0.97]",2.9,9.96,
0,18,8,18,"[45.87, 36.97]",45.87,45.87,
0,18,9,20,"[72.24, 16.92]",72.24,72.24,
0,19,0,2,"[0.0, 0.0]",0.0,0.0,
0,19,1,4,"[1.79, 0.0]",1.79,1.79,
0,19,2,6,"[2.69, 3.77]",3.77,3.77,
0,19,3,8,"[4.43, 3.38]",4.43,4.43,
0,19,4,10,"[4.39, 2.21]",4.39,4.43,
0,19,5,12,"[5.68, 0.0]",5.68,5.68,
0,19,6,14,"[2.77, 0.97]",2.77,5.68,
0,19,7,16,"[45.87, 24.05]",45.87,45.87,
0,19,8,18,"[36.97, 72.24]",72.24,72.24,
0,19,9,20,"[40.47, 3.79]",40.47,72.24,
0,20,0,2,"[53.43, 0.0]",53.43,53.43,
0,20,1,4,"[59.27, 11.65]",59.27,59.27,
0,20,2,6,"[66.03, 25.5]",66.03,66.03,
0,20,3,8,"[31.55, 28.36]",31.55,66.03,
0,20,4,10,"[44.28, 26.33]",44.28,66.03,
0,20,5,12,"[36.98, 41.03]",41.03,66.03,
0,20,6,14,"[1.65, 0.93]",1.65,66.03,
0,20,7,16,"[23.57, 25.62]",25.62,66.03,
0,20,8,18,"[17.53, 86.14]",86.14,86.14,
0,20,9,20,"[27.79, 79.33]",79.33,86.14,
0,21,0,2,"[2.65, 0.0]",2.65,2.65,
0,21,1,4,"[3.63, 11.65]",11.65,11.65,
0,21,2,6,"[16.91, 16.57]",16.91,16.91,
0,21,3,8,"[22.3, 0.0]",22.3,22.3,
0,21,4,10,"[36.32, 24.05]",36.32,36.32,
0,21,5,12,"[23.51, 9.96]",23.51,36.32,
0,21,6,14,"[32.14, 19.97]",32.14,36.32,
0,21,7,16,"[20.5, 11.77]",20.5,36.32,
0,21,8,18,"[6.77, 3.38]",6.77,36.32,
0,21,9,20,"[2.72, 2.9]",2.9,36.32,
0,22,0,2,"[0.6, 5.65]",5.65,5.65,
0,22,1,4,"[6.69, 6.73]",6.73,6.73,
0,22,2,6,"[3.79, 4.89]",4.89,6.73,
0,22,3,8,"[6.77, 5.62]",6.77,6.77,
0,22,4,10,"[5.5, 4.95]",5.5,6.77,
0,22,5,12,"[5.29, 5.62]",5.62,6.77,
0,22,6,14,"[9.96, 4.61]",9.96,9.96,
0,22,7,16,"[9.32, 8.98]",9.32,9.96,
0,22,8,18,"[7.8, 11.77]",11.77,11.77,
0,22,9,20,"[36.97, 16.92]",36.97,36.97,
0,23,0,2,"[0.0, 27.79]",27.79,27.79,
0,23,1,4,"[22.94, 16.91]",22.94,27.79,
0,23,2,6,"[60.68, 86.14]",86.14,86.14,
0,23,3,8,"[84.17, 79.33]",84.17,86.14,
0,23,4,10,"[38.79, 55.17]",55.17,86.14,
0,23,5,12,"[52.77, 6.26]",52.77,86.14,
0,23,6,14,"[38.03, 43.2]",43.2,86.14,
0,23,7,16,"[82.21, 66.03]",82.21,86.14,
0,23,8,18,"[85.24, 0.0]",85.24,86.14,
0,23,9,20,"[61.71, 42.3]",61.71,86.14,
0,24,0,2,"[48.21, 0.79]",48.21,48.21,
0,24,1,4,"[36.72, 0.0]",36.72,48.21,
0,24,2,6,"[28.02, 9.66]",28.02,48.21,
0,24,3,8,"[18.59, 39.5]",39.5,48.21,
0,24,4,10,"[29.57, 13.31]",29.57,48.21,
0,24,5,12,"[48.64, 21.15]",48.64,48.64,
0,24,6,14,"[37.58, 54.55]",54.55,54.55,
0,24,7,16,"[24.25, 18.19]",24.25,54.55,
0,24,8,18,"[29.23, 69.11]",69.11,69.11,
0,24,9,20,"[75.4, 40.02]",75.4,75.4,
0,25,0,2,"[16.92, 20.2]",20.2,20.2,
0,25,1,4,"[24.59, 0.86]",24.59,24.59,
0,25,2,6,"[31.58, 14.83]",31.58,31.58,
0,25,3,8,"[22.65, 18.93]",22.65,31.58,
0,25,4,10,"[43.84, 4.16]",43.84,43.84,
0,25,5,12,"[28.9, 38.8]",38.8,43.84,
0,25,6,14,"[61.09, 84.03]",84.03,84.03,
0,25,7,16,"[75.28, 65.32]",75.28,84.03,
0,25,8,18,"[55.7, 62.75]",62.75,84.03,
0,25,9,20,"[39.55, 13.02]",39.55,84.03,
0,26,0,2,"[16.57, 13.85]",16.57,16.57,
0,26,1,4,"[0.0, 0.0]",0.0,16.57,
0,26,2,6,"[17.92, 11.65]",17.92,17.92,
0,26,3,8,"[42.45, 0.7]",42.45,42.45,
0,26,4,10,"[25.62, 41.03]",41.03,42.45,
0,26,5,12,"[23.57, 38.12]",38.12,42.45,
0,26,6,14,"[38.45, 19.39]",38.45,42.45,
0,26,7,16,"[38.68, 21.8]",38.68,42.45,
0,26,8,18,"[4.73, 26.33]",26.33,42.45,
0,26,9,20,"[66.03, 0.0]",66.03,66.03,
0,27,0,2,"[22.94, 12.07]",22.94,22.94,
0,27,1,4,"[23.71, 27.79]",27.79,27.79,
0,27,2,6,"[60.68, 52.77]",60.68,60.68,
0,27,3,8,"[38.79, 86.14]",86.14,86.14,
0,27,4,10,"[84.17, 79.33]",84.17,86.14,
0,27,5,12,"[55.17, 38.03]",55.17,86.14,
0,27,6,14,"[82.21, 6.26]",82.21,86.14,
0,27,7,16,"[0.0, 61.71]",61.71,86.14,
0,27,8,18,"[32.68, 25.35]",32.68,86.14,
0,27,9,20,"[85.24, 0.0]",85.24,86.14,
0,28,0,2,"[7.84, 0.0]",7.84,7.84,
0,28,1,4,"[0.0, 3.79]",3.79,7.84,
0,28,2,6,"[2.72, 9.32]",9.32,9.32,
0,28,3,8,"[7.8, 0.0]",7.8,9.32,
0,28,4,10,"[9.96, 0.0]",9.96,9.96,
0,28,5,12,"[8.98, 6.77]",8.98,9.96,
0,28,6,14,"[5.5, 4.95]",5.5,9.96,
0,28,7,16,"[16.51, 6.73]",16.51,16.51,
0,28,8,18,"[5.29, 17.9]",17.9,17.9,
0,28,9,20,"[12.23, 0.0]",12.23,17.9,
0,29,0,2,"[29.21, 28.02]",29.21,29.21,
0,29,1,4,"[22.92, 0.0]",22.92,29.21,
0,29,2,6,"[17.16, 48.21]",48.21,48.21,
0,29,3,8,"[36.72, 9.66]",36.72,48.21,
0,29,4,10,"[4.23, 42.45]",42.45,48.21,
0,29,5,12,"[25.62, 41.03]",41.03,48.21,
0,29,6,14,"[17.92, 39.5]",39.5,48.21,
0,29,7,16,"[38.12, 38.45]",38.45,48.21,
0,29,8,18,"[29.57, 48.64]",48.64,48.64,
0,29,9,20,"[19.39, 23.57]",23.57,48.64,
0,30,0,2,"[40.02, 1.03]",40.02,40.02,
0,30,1,4,"[69.11, 6.73]",69.11,69.11,
0,30,2,6,"[75.4, 45.95]",75.4,75.4,
0,30,3,8,"[33.95, 72.9]",72.9,75.4,
0,30,4,10,"[86.37, 0.0]",86.37,86.37,
0,30,5,12,"[26.5, 18.72]",26.5,86.37,
0,30,6,14,"[48.64, 54.55]",54.55,86.37,
0,30,7,16,"[48.21, 36.72]",48.21,86.37,
0,30,8,18,"[39.5, 18.19]",39.5,86.37,
0,30,9,20,"[18.59, 30.83]",30.83,86.37,
0,31,0,2,"[0.0, 0.0]",0.0,0.0,
0,31,1,4,"[2.77, 0.0]",2.77,2.77,
0,31,2,6,"[0.99, 5.68]",5.68,5.68,
0,31,3,8,"[0.0, 3.38]",3.38,5.68,
0,31,4,10,"[4.39, 2.9]",4.39,5.68,
0,31,5,12,"[36.97, 0.97]",36.97,36.97,
0,31,6,14,"[16.92, 11.77]",16.92,36.97,
0,31,7,16,"[45.87, 72.24]",72.24,72.24,
0,31,8,18,"[30.41, 37.93]",37.93,72.24,
0,31,9,20,"[5.7, 3.79]",5.7,72.24,
0,32,0,2,"[7.32, 0.0]",7.32,7.32,
0,32,1,4,"[0.0, 16.91]",16.91,16.91,
0,32,2,6,"[22.3, 13.01]",22.3,22.3,
0,32,3,8,"[36.32, 0.0]",36.32,36.32,
0,32,4,10,"[24.05, 6.77]",24.05,36.32,
0,32,5,12,"[3.38, 11.77]",11.77,36.32,
0,32,6,14,"[0.97, 2.9]",2.9,36.32,
0,32,7,16,"[36.97, 1.26]",36.97,36.97,
0,32,8,18,"[45.87, 4.95]",45.87,45.87,
0,32,9,20,"[72.24, 16.92]",72.24,72.24,
0,33,0,2,"[0.41, 57.18]",57.18,57.18,
0,33,1,4,"[51.32, 52.23]",52.23,57.18,
0,33,2,6,"[37.4, 36.73]",37.4,57.18,
0,33,3,8,"[43.22, 57.85]",57.85,57.85,
0,33,4,10,"[57.95, 63.2]",63.2,63.2,
0,33,5,12,"[19.99, 16.04]",19.99,63.2,
0,33,6,14,"[17.45, 18.59]",18.59,63.2,
0,33,7,16,"[0.0, 16.44]",16.44,63.2,
0,33,8,18,"[21.15, 3.89]",21.15,63.2,
0,33,9,20,"[36.72, 44.22]",44.22,63.2,
0,34,0,2,"[1.9, 22.65]",22.65,22.65,
0,34,1,4,"[21.51, 9.32]",21.51,22.65,
0,34,2,6,"[18.93, 17.63]",18.93,22.65,
0,34,3,8,"[17.93, 14.68]",17.93,22.65,
0,34,4,10,"[16.83, 12.61]",16.83,22.65,
0,34,5,12,"[31.58, 14.83]",31.58,31.58,
0,34,6,14,"[24.59, 38.8]",38.8,38.8,
0,34,7,16,"[43.84, 30.41]",43.84,43.84,
0,34,8,18,"[39.55, 28.9]",39.55,43.84,
0,34,9,20,"[61.09, 84.03]",84.03,84.03,
0,35,0,2,"[0.05, 0.0]",0.05,0.05,
0,35,1,4,"[0.65, 6.73]",6.73,6.73,
0,35,2,6,"[3.79, 6.77]",6.77,6.77,
0,35,3,8,"[5.5, 4.95]",5.5,6.77,
0,35,4,10,"[9.96, 0.0]",9.96,9.96,
0,35,5,12,"[2.9, 36.97]",36.97,36.97,
0,35,6,14,"[11.77, 72.24]",72.24,72.24,
0,35,7,16,"[3.77, 20.5]",20.5,72.24,
0,35,8,18,"[3.6, 17.45]",17.45,72.24,
0,35,9,20,"[45.87, 30.41]",45.87,72.24,
0,36,0,2,"[0.0, 14.68]",14.68,14.68,
0,36,1,4,"[17.93, 20.5]",20.5,20.5,
0,36,2,6,"[24.05, 23.51]",24.05,24.05,
0,36,3,8,"[36.32, 32.14]",36.32,36.32,
0,36,4,10,"[19.97, 22.3]",22.3,36.32,
0,36,5,12,"[16.91, 13.01]",16.91,36.32,
0,36,6,14,"[0.0, 22.65]",22.65,36.32,
0,36,7,16,"[31.58, 12.61]",31.58,36.32,
0,36,8,18,"[24.59, 16.83]",24.59,36.32,
0,36,9,20,"[43.84, 4.16]",43.84,43.84,
0,37,0,2,"[66.03, 6.98]",66.03,66.03,
0,37,1,4,"[28.36, 13.13]",28.36,66.03,
0,37,2,6,"[59.27, 31.55]",59.27,66.03,
0,37,3,8,"[53.43, 44.28]",53.43,66.03,
0,37,4,10,"[36.98, 41.03]",41.03,66.03,
0,37,5,12,"[23.57, 38.45]",38.45,66.03,
0,37,6,14,"[1.65, 12.39]",12.39,66.03,
