% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1350,9,20,"[75.22, 9.52]",75.22,78.95,
0,1351,0,2,"[0.0, 0.0]",0.0,0.0,
0,1351,1,4,"[2.41, 52.69]",52.69,52.69,
0,1351,2,6,"[5.47, 5.49]",5.49,52.69,
0,1351,3,8,"[31.29, 34.47]",34.47,52.69,
0,1351,4,10,"[55.96, 57.68]",57.68,57.68,
0,1351,5,12,"[64.46, 27.05]",64.46,64.46,
0,1351,6,14,"[73.59, 37.71]",73.59,73.59,
0,1351,7,16,"[39.39, 64.12]",64.12,73.59,
0,1351,8,18,"[46.33, 23.1]",46.33,73.59,
0,1351,9,20,"[1.37, 69.2]",69.2,73.59,
0,1352,0,2,"[91.39, 12.61]",91.39,91.39,
0,1352,1,4,"[2.41, 5.47]",5.47,91.39,
0,1352,2,6,"[5.49, 0.12]",5.49,91.39,
0,1352,3,8,"[0.0, 0.0]",0.0,91.39,
0,1352,4,10,"[91.06, 41.1]",91.06,91.39,
0,1352,5,12,"[90.39, 100.0]",100.0,100.0,
0,1352,6,14,"[53.52, 22.88]",53.52,100.0,
0,1352,7,16,"[98.49, 100.0]",100.0,100.0,
0,1352,8,18,"[87.0, 55.96]",87.0,100.0,
0,1352,9,20,"[6.54, 9.07]",9.07,100.0,
0,1353,0,2,"[1.13, 84.62]",84.62,84.62,
0,1353,1,4,"[2.41, 5.47]",5.47,84.62,
0,1353,2,6,"[5.49, 0.12]",5.49,84.62,
0,1353,3,8,"[0.0, 0.0]",0.0,84.62,
0,1353,4,10,"[68.71, 78.95]",78.95,84.62,
0,1353,5,12,"[6.4, 20.31]",20.31,84.62,
0,1353,6,14,"[57.33, 6.22]",57.33,84.62,
0,1353,7,16,"[7.26, 5.25]",7.26,84.62,
0,1353,8,18,"[75.39, 83.83]",83.83,84.62,
0,1353,9,20,"[47.3, 73.33]",73.33,84.62,
0,1354,0,2,"[0.0, 6.77]",6.77,6.77,
0,1354,1,4,"[2.41, 5.47]",5.47,6.77,
0,1354,2,6,"[5.49, 0.12]",5.49,6.77,
0,1354,3,8,"[0.0, 0.0]",0.0,6.77,
0,1354,4,10,"[6.67, 6.78]",6.78,6.78,
