% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1355,3,8,"[80.86, 5.24]",80.86,80.86,
0,1355,4,10,"[76.66, 44.47]",76.66,80.86,
0,1355,5,12,"[80.65, 99.98]",99.98,99.98,
0,1355,6,14,"[99.22, 0.0]",99.22,99.98,
0,1355,7,16,"[92.19, 62.33]",92.19,99.98,
0,1355,8,18,"[98.38, 81.63]",98.38,99.98,
0,1355,9,20,"[52.08, 99.81]",99.81,99.98,
0,1356,0,2,"[7.02, 0.0]",7.02,7.02,
0,1356,1,4,"[4.78, 13.33]",13.33,13.33,
0,1356,2,6,"[5.65, 11.99]",11.99,13.33,
0,1356,3,8,"[18.89, 5.15]",18.89,18.89,
0,1356,4,10,"[25.77, 8.61]",25.77,25.77,
0,1356,5,12,"[20.72, 58.48]",58.48,58.48,
0,1356,6,14,"[80.65, 0.0]",80.65,80.65,
0,1356,7,16,"[71.81, 45.73]",71.81,80.65,
0,1356,8,18,"[80.86, 77.52]",80.86,80.86,
0,1356,9,20,"[76.66, 70.51]",76.66,80.86,
0,1357,0,2,"[70.51, 3.8]",70.51,70.51,
0,1357,1,4,"[50.7, 13.33]",50.7,70.51,
0,1357,2,6,"[2.78, 19.71]",19.71,70.51,
0,1357,3,8,"[53.11, 5.24]",53.11,70.51,
0,1357,4,10,"[99.81, 4.66]",99.81,99.81,
0,1357,5,12,"[0.89, 92.19]",92.19,99.81,
0,1357,6,14,"[98.38, 19.13]",98.38,99.81,
0,1357,7,16,"[96.64, 99.22]",99.22,99.81,
0,1357,8,18,"[83.22, 89.95]",89.95,99.81,
0,1357,9,20,"[89.14, 80.86]",89.14,99.81,
0,1358,0,2,"[91.19, 0.0]",91.19,91.19,
0,1358,1,4,"[89.14, 3.04]",89.14,91.19,
0,1358,2,6,"[18.38, 3.18]",18.38,91.19,
0,1358,3,8,"[96.64, 5.4]",96.64,96.64,
0,1358,4,10,"[98.38, 66.84]",98.38,98.38,
0,1358,5,12,"[99.22, 46.42]",99.22,99.22,
0,1358,6,14,"[5.95, 92.19]",92.19,99.22,
0,1358,7,16,"[95.48, 99.98]",99.98,99.98,
0,1358,8,18,"[80.86, 75.46]",80.86,99.98,
0,1358,9,20,"[81.63, 2.79]",81.63,99.98,
0,1359,0,2,"[8.2, 7.5]",8.2,8.2,
0,1359,1,4,"[11.26, 0.0]",11.26,11.26,
0,1359,2,6,"[20.72, 10.59]",20.72,20.72,
0,1359,3,8,"[3.04, 7.88]",7.88,20.72,
0,1359,4,10,"[7.54, 5.16]",7.54,20.72,
0,1359,5,12,"[5.65, 0.0]",5.65,20.72,
0,1359,6,14,"[26.69, 0.0]",26.69,26.69,
0,1359,7,16,"[99.81, 62.33]",99.81,99.81,
0,1359,8,18,"[96.64, 89.95]",96.64,99.81,
0,1359,9,20,"[98.38, 95.48]",98.38,99.81,
0,1360,0,2,"[0.0, 5.15]",5.15,5.15,
0,1360,1,4,"[23.23, 0.0]",23.23,23.23,
0,1360,2,6,"[5.65, 8.52]",8.52,23.23,
0,1360,3,8,"[20.72, 5.16]",20.72,23.23,
0,1360,4,10,"[30.17, 11.26]",30.17,30.17,
